name_of_rrh,Antibiotic,I,R,S,I+R+S,%R
Gulu,gentamicin,51,301,173,525,57.0
Gulu,imip,89,40,320,449,9.0
Gulu,linezolid,0,0,195,195,0.0
Gulu,meropenem,105,64,117,286,22.0
Gulu,nalidixic,19,186,0,205,91.0
Gulu,nitrofurantoin,0,24,24,48,50.0
Gulu,oxacilin,40,72,0,112,64.0
Gulu,penicillin,19,193,24,236,82.0
Gulu,piperacillin,0,177,65,242,73.0
Gulu,rifampcin,0,0,40,40,0.0
Gulu,streptomycin,0,26,0,26,100.0
Gulu,tetracycline,0,162,105,267,61.0
Gulu,trim,0,175,17,192,91.0
Gulu,vanco,24,0,0,24,0.0
Jinja,amikacin,0,8,20,28,29.0
Jinja,ampicillin,0,22,0,22,100.0
Jinja,cefepime,4,0,0,4,0.0
Jinja,cefixime,0,6,5,11,55.0
Jinja,ceftaz,0,1,5,6,17.0
Jinja,ceftriaxone,5,4,22,31,13.0
Jinja,chloramphenicol,0,6,0,6,100.0
Jinja,ciprofloxacin,3,14,26,43,33.0
Jinja,clindamycin,0,6,4,10,60.0
Jinja,doxycycline,0,0,5,5,0.0
Jinja,erythromycin,0,14,3,17,82.0
Jinja,gentamicin,0,9,26,35,26.0
Jinja,imip,6,0,16,22,0.0
Jinja,oxacilin,5,3,0,8,38.0
Jinja,piperacillin,2,0,0,2,0.0
Jinja,tetracycline,13,23,1,37,62.0
Jinja,trim,4,28,20,52,54.0
Kabale,amikacin,0,0,156,156,0.0
Kabale,amoxicillin,10,216,38,264,82.0
Kabale,ampicillin,0,224,0,224,100.0
Kabale,azithromycin,0,19,3,22,86.0
Kabale,azitreo,0,50,38,88,57.0
