Antibiotic,I,R,S,I+R+S,%R,Pathogen
tetracycline,6,4,4,14,28.57,Streptococcus pneumoniae
trim,0,6,2,8,75.0,Streptococcus pneumoniae
vanco,0,0,6,6,0.0,Streptococcus pneumoniae
amikacin,4,6,36,46,13.04,Proteus vulgaris
amoxicillin,22,58,25,105,55.24,Proteus vulgaris
ampicillin,6,74,2,82,90.24,Proteus vulgaris
azithromycin,0,11,3,14,78.57,Proteus vulgaris
azitreo,1,10,6,17,58.82,Proteus vulgaris
aztreom,0,1,0,1,100.0,Proteus vulgaris
cefepime,5,39,29,73,53.42,Proteus vulgaris
cefixime,0,15,0,15,100.0,Proteus vulgaris
cefotaxime,1,21,5,27,77.78,Proteus vulgaris
cefoxitin,0,7,11,18,38.89,Proteus vulgaris
cefoxtaxime,0,1,0,1,100.0,Proteus vulgaris
cefoxtin,0,1,0,1,100.0,Proteus vulgaris
ceftaz,8,49,21,78,62.82,Proteus vulgaris
ceftazidime,0,0,1,1,0.0,Proteus vulgaris
ceftriaxone,7,113,31,151,74.83,Proteus vulgaris
cefuroxime,0,12,1,13,92.31,Proteus vulgaris
chloramphenicol,4,60,109,173,34.68,Proteus vulgaris
ciprofloxacin,29,126,58,213,59.15,Proteus vulgaris
clindamycin,5,21,26,52,40.38,Proteus vulgaris
doripenem,0,0,1,1,0.0,Proteus vulgaris
doxycycline,2,21,16,39,53.85,Proteus vulgaris
ertapenem,1,1,3,5,20.0,Proteus vulgaris
erythromycin,3,30,8,41,73.17,Proteus vulgaris
fosfomycin,0,0,1,1,0.0,Proteus vulgaris
gentamicin,10,95,85,190,50.0,Proteus vulgaris
imip,17,15,121,153,9.8,Proteus vulgaris
levofloxacin,4,9,9,22,40.91,Proteus vulgaris
linezolid,0,0,12,12,0.0,Proteus vulgaris
meropenem,6,3,19,28,10.71,Proteus vulgaris
nalidixic,1,6,0,7,85.71,Proteus vulgaris
nitrofurantoin,0,1,2,3,33.33,Proteus vulgaris
oxacilin,1,14,9,24,58.33,Proteus vulgaris
penicillin,0,9,1,10,90.0,Proteus vulgaris
piperacillin,31,74,72,177,41.81,Proteus vulgaris
rifampcin,0,0,1,1,0.0,Proteus vulgaris
streptomycin,0,1,0,1,100.0,Proteus vulgaris
tetracycline,2,27,22,51,52.94,Proteus vulgaris
trim,9,130,22,161,80.75,Proteus vulgaris
vanco,1,0,0,1,0.0,Proteus vulgaris
amikacin,4,1,16,21,4.76,Enterococcus faecalis
amoxicillin,2,24,0,26,92.31,Enterococcus faecalis
ampicillin,2,22,2,26,84.62,Enterococcus faecalis
azitreo,0,7,0,7,100.0,Enterococcus faecalis
cefixime,0,5,0,5,100.0,Enterococcus faecalis
cefotaxime,1,9,2,12,75.0,Enterococcus faecalis
cefoxtin,0,1,0,1,100.0,Enterococcus faecalis
ceftaz,3,10,1,14,71.43,Enterococcus faecalis
ceftazidime,0,0,1,1,0.0,Enterococcus faecalis
ceftriaxone,1,23,4,28,82.14,Enterococcus faecalis
cefuroxime,0,6,0,6,100.0,Enterococcus faecalis
chloramphenicol,2,12,13,27,44.44,Enterococcus faecalis
ciprofloxacin,4,26,8,38,68.42,Enterococcus faecalis
clindamycin,1,3,2,6,50.0,Enterococcus faecalis
doxycycline,0,1,0,1,100.0,Enterococcus faecalis
ertapenem,1,1,2,4,25.0,Enterococcus faecalis
erythromycin,1,6,4,11,54.55,Enterococcus faecalis
fosfomycin,0,0,2,2,0.0,Enterococcus faecalis
gentamicin,0,18,9,27,66.67,Enterococcus faecalis
imip,1,1,24,26,3.85,Enterococcus faecalis
linezolid,0,0,7,7,0.0,Enterococcus faecalis
meropenem,3,2,5,10,20.0,Enterococcus faecalis
nalidixic,0,6,2,8,75.0,Enterococcus faecalis
nitrofurantoin,4,3,11,18,16.67,Enterococcus faecalis
oxacilin,1,3,0,4,75.0,Enterococcus faecalis
penicillin,1,6,1,8,75.0,Enterococcus faecalis
piperacillin,0,6,1,7,85.71,Enterococcus faecalis
rifampcin,0,0,1,1,0.0,Enterococcus faecalis
streptomycin,0,2,0,2,100.0,Enterococcus faecalis
tetracycline,0,17,8,25,68.0,Enterococcus faecalis
trim,0,17,2,19,89.47,Enterococcus faecalis
vanco,1,0,5,6,0.0,Enterococcus faecalis
amikacin,0,6,37,43,13.95,Pseudomos spp
amoxicillin,20,56,39,115,48.7,Pseudomos spp
ampicillin,2,52,4,58,89.66,Pseudomos spp
azithromycin,0,18,6,24,75.0,Pseudomos spp
azitreo,0,24,25,49,48.98,Pseudomos spp
aztreom,0,3,1,4,75.0,Pseudomos spp
cefepime,6,57,30,93,61.29,Pseudomos spp
cefixime,0,11,0,11,100.0,Pseudomos spp
cefotaxime,0,30,5,35,85.71,Pseudomos spp
cefoxitin,0,4,5,9,44.44,Pseudomos spp
cefoxtaxime,0,5,0,5,100.0,Pseudomos spp
ceftaz,10,74,32,116,63.79,Pseudomos spp
ceftriaxone,1,183,31,215,85.12,Pseudomos spp
cefuroxime,0,16,0,16,100.0,Pseudomos spp
chloramphenicol,6,85,124,215,39.53,Pseudomos spp
ciprofloxacin,43,157,90,290,54.14,Pseudomos spp
clindamycin,13,19,28,60,31.67,Pseudomos spp
doxycycline,3,32,27,62,51.61,Pseudomos spp
erythromycin,6,30,2,38,78.95,Pseudomos spp
gentamicin,11,133,109,253,52.57,Pseudomos spp
imip,15,23,169,207,11.11,Pseudomos spp
levofloxacin,12,33,27,72,45.83,Pseudomos spp
linezolid,0,0,9,9,0.0,Pseudomos spp
meropenem,9,7,48,64,10.94,Pseudomos spp
nalidixic,0,1,2,3,33.33,Pseudomos spp
nitrofurantoin,0,0,5,5,0.0,Pseudomos spp
oxacilin,0,19,9,28,67.86,Pseudomos spp
penicillin,0,1,0,1,100.0,Pseudomos spp
piperacillin,80,189,124,393,48.09,Pseudomos spp
tetracycline,1,43,29,73,58.9,Pseudomos spp
trim,11,181,16,208,87.02,Pseudomos spp
amoxicillin,0,3,0,3,100.0,Enterococcus spp
ampicillin,0,5,0,5,100.0,Enterococcus spp
azithromycin,0,3,1,4,75.0,Enterococcus spp
cefepime,1,2,1,4,50.0,Enterococcus spp
ceftaz,0,1,0,1,100.0,Enterococcus spp
ceftriaxone,0,6,1,7,85.71,Enterococcus spp
cefuroxime,0,1,0,1,100.0,Enterococcus spp
chloramphenicol,0,6,8,14,42.86,Enterococcus spp
ciprofloxacin,2,12,2,16,75.0,Enterococcus spp
clindamycin,1,4,3,8,50.0,Enterococcus spp
doxycycline,0,4,1,5,80.0,Enterococcus spp
erythromycin,1,5,0,6,83.33,Enterococcus spp
gentamicin,0,8,7,15,53.33,Enterococcus spp
imip,0,1,1,2,50.0,Enterococcus spp
oxacilin,0,3,1,4,75.0,Enterococcus spp
penicillin,0,1,0,1,100.0,Enterococcus spp
piperacillin,0,2,8,10,20.0,Enterococcus spp
trim,2,5,1,8,62.5,Enterococcus spp
amikacin,0,5,3,8,62.5,Citrobacter koseri
amoxicillin,2,17,1,20,85.0,Citrobacter koseri
ampicillin,0,26,1,27,96.3,Citrobacter koseri
